address,name,file,length
0x2022,gUnk_08002022,asm/code_080011C4.o,0x7
0x2029,gUnk_08002029,asm/code_080011C4.o,0x7
0x2030,gUnk_08002030,asm/code_080011C4.o,0x7
0x2037,gUnk_08002037,asm/code_080011C4.o,0x7
0x203e,gUnk_0800203E,asm/code_080011C4.o,0x7
0x2045,gUnk_08002045,asm/code_080011C4.o,0x7
0x204c,gUnk_0800204C,asm/code_080011C4.o,0x7
0x2053,gUnk_08002053,asm/code_080011C4.o,0x7
0x205a,gUnk_0800205A,asm/code_080011C4.o,0x7
0x2061,gUnk_08002061,asm/code_080011C4.o,0x7
0x2068,gUnk_08002068,asm/code_080011C4.o,0x9
0x2071,gUnk_08002071,asm/code_080011C4.o,0x9
0x207a,gUnk_0800207A,asm/code_080011C4.o,0x6
0x2080,gUnk_08002080,asm/code_080011C4.o,0x1
0x2081,gUnk_08002081,asm/code_080011C4.o,0x9
0x208a,gUnk_0800208A,asm/code_080011C4.o,0x7
0x2091,gUnk_08002091,asm/code_080011C4.o,0x7
0x2098,gUnk_08002098,asm/code_080011C4.o,0x7
0x209f,gUnk_0800209F,asm/code_080011C4.o,0x1
0x20a0,gUnk_080020A0,asm/code_080011C4.o,0x6
0x20a6,gUnk_080020A6,asm/code_080011C4.o,0x7
0x20ad,gUnk_080020AD,asm/code_080011C4.o,0x7
0x20b4,gUnk_080020B4,asm/code_080011C4.o,0x7
0x20bb,gUnk_080020BB,asm/code_080011C4.o,0x7
0x20c2,gUnk_080020C2,asm/code_080011C4.o,0x7
0x20c9,gUnk_080020C9,asm/code_080011C4.o,0x7
0x20d0,gUnk_080020D0,asm/code_080011C4.o,0x7
0x20d7,gUnk_080020D7,asm/code_080011C4.o,0x7
0x20de,gUnk_080020DE,asm/code_080011C4.o,0x7
0x20e5,gUnk_080020E5,asm/code_080011C4.o,0x7
0x20ec,gUnk_080020EC,asm/code_080011C4.o,0x8
0x20f4,gUnk_080020F4,asm/code_080011C4.o,0x7
0x20fb,gUnk_080020FB,asm/code_080011C4.o,0x7
0x2102,gUnk_08002102,asm/code_080011C4.o,0x7
0x2109,gUnk_08002109,asm/code_080011C4.o,0x7
0x2110,gUnk_08002110,asm/code_080011C4.o,0x7
0x2117,gUnk_08002117,asm/code_080011C4.o,0x7
0x211e,gUnk_0800211E,asm/code_080011C4.o,0x7
0x2125,gUnk_08002125,asm/code_080011C4.o,0x8
0x212d,gUnk_0800212D,asm/code_080011C4.o,0x8
0x2135,gUnk_08002135,asm/code_080011C4.o,0x8
0x213d,gUnk_0800213D,asm/code_080011C4.o,0x6
0x2143,gUnk_08002143,asm/code_080011C4.o,0x1
0x2144,gUnk_08002144,asm/code_080011C4.o,0x1
0x2145,gUnk_08002145,asm/code_080011C4.o,0x6
0x214b,gUnk_0800214B,asm/code_080011C4.o,0x7
0x2152,gUnk_08002152,asm/code_080011C4.o,0x8
0x215a,gUnk_0800215A,asm/code_080011C4.o,0x8
0x2162,gUnk_08002162,asm/code_080011C4.o,0x7
0x2169,gUnk_08002169,asm/code_080011C4.o,0x7
0x2170,gUnk_08002170,asm/code_080011C4.o,0x8
0x2178,gUnk_08002178,asm/code_080011C4.o,0xc
0x2184,gUnk_08002184,asm/code_080011C4.o,0x7
0x218b,gUnk_0800218B,asm/code_080011C4.o,0x8
0x2193,gUnk_08002193,asm/code_080011C4.o,0x8
0x219b,gUnk_0800219B,asm/code_080011C4.o,0x8
0x21a3,gUnk_080021A3,asm/code_080011C4.o,0x8
0x21ab,gUnk_080021AB,asm/code_080011C4.o,0x8
0x21b3,gUnk_080021B3,asm/code_080011C4.o,0x9
0x21bc,gUnk_080021BC,asm/code_080011C4.o,0x7
0x21c3,gUnk_080021C3,asm/code_080011C4.o,0x7
0x21ca,gUnk_080021CA,asm/code_080011C4.o,0x7
