romA,addressA,romB,addressB,certainty,author,note,enabled
USA,0x10c868,JP,0x10c52c,5,octorock,Pointer at USA 0x2d74,False
USA,0x10cdd4,DEMO,0x10c958,5,octorock,Pointer at USA 0x2d84,False
USA,0x10cdd4,JP,0x10ca98,5,octorock,Pointer at USA 0x2d84,False
USA,0x110c84,DEMO,0x110808,5,octorock,Pointer at USA 0x2d94,False
USA,0x110c84,JP,0x110948,5,octorock,Pointer at USA 0x2d94,False
USA,0x110dc8,DEMO,0x11094c,5,octorock,Pointer at USA 0x2da4,False
USA,0x110dc8,JP,0x110a8c,5,octorock,Pointer at USA 0x2da4,False
USA,0x111d34,DEMO,0x1118b8,5,octorock,Pointer at USA 0x2db4,False
USA,0x111d34,JP,0x1119f8,5,octorock,Pointer at USA 0x2db4,False
USA,0x11125c,DEMO,0x110de0,5,octorock,Pointer at USA 0x2dc4,False
USA,0x11125c,JP,0x110f20,5,octorock,Pointer at USA 0x2dc4,False
USA,0x11125c,DEMO,0x110de0,5,octorock,Pointer at USA 0x2dd4,False
USA,0x11125c,JP,0x110f20,5,octorock,Pointer at USA 0x2dd4,False
USA,0x112100,DEMO,0x111c84,5,octorock,Pointer at USA 0x2de4,False
USA,0x112100,JP,0x111dc4,5,octorock,Pointer at USA 0x2de4,False
USA,0x112100,DEMO,0x111c84,5,octorock,Pointer at USA 0x2df4,False
USA,0x112100,JP,0x111dc4,5,octorock,Pointer at USA 0x2df4,False
USA,0x112100,DEMO,0x111c84,5,octorock,Pointer at USA 0x2e04,False
USA,0x112100,JP,0x111dc4,5,octorock,Pointer at USA 0x2e04,False
USA,0x11222c,DEMO,0x111db0,5,octorock,Pointer at USA 0x2e14,False
USA,0x11222c,JP,0x111ef0,5,octorock,Pointer at USA 0x2e14,False
USA,0x112f34,DEMO,0x112ab8,5,octorock,Pointer at USA 0x2e24,False
USA,0x112f34,JP,0x112bf8,5,octorock,Pointer at USA 0x2e24,False
USA,0x11319c,DEMO,0x112d20,5,octorock,Pointer at USA 0x2e34,False
USA,0x11319c,JP,0x112e60,5,octorock,Pointer at USA 0x2e34,False
USA,0x113214,DEMO,0x112d98,5,octorock,Pointer at USA 0x2e44,False
USA,0x113214,JP,0x112ed8,5,octorock,Pointer at USA 0x2e44,False
USA,0x113380,DEMO,0x112f04,5,octorock,Pointer at USA 0x2e54,False
USA,0x113380,JP,0x113044,5,octorock,Pointer at USA 0x2e54,False
USA,0x113508,DEMO,0x11308c,5,octorock,Pointer at USA 0x2e64,False
USA,0x113508,JP,0x1131cc,5,octorock,Pointer at USA 0x2e64,False
USA,0x1136b0,DEMO,0x113234,5,octorock,Pointer at USA 0x2e84,False
USA,0x1136b0,JP,0x113374,5,octorock,Pointer at USA 0x2e84,False
USA,0x1135e8,DEMO,0x11316c,5,octorock,Pointer at USA 0x2e74,False
USA,0x1135e8,JP,0x1132ac,5,octorock,Pointer at USA 0x2e74,False
USA,0x1138b8,DEMO,0x11343c,5,octorock,Pointer at USA 0x2e94,False
USA,0x1138b8,JP,0x11357c,5,octorock,Pointer at USA 0x2e94,False
USA,0x113a08,DEMO,0x11358c,5,octorock,Pointer at USA 0x2ea4,False
USA,0x113a08,JP,0x1136cc,5,octorock,Pointer at USA 0x2ea4,False
USA,0x113a08,DEMO,0x11358c,5,octorock,Pointer at USA 0x2eb4,False
USA,0x113a08,JP,0x1136cc,5,octorock,Pointer at USA 0x2eb4,False
USA,0x113b98,DEMO,0x11371c,5,octorock,Pointer at USA 0x2ec4,False
USA,0x113b98,JP,0x11385c,5,octorock,Pointer at USA 0x2ec4,False
USA,0x113c14,DEMO,0x113798,5,octorock,Pointer at USA 0x2ed4,False
USA,0x113c14,JP,0x1138d8,5,octorock,Pointer at USA 0x2ed4,False
USA,0x113c58,DEMO,0x1137dc,5,octorock,Pointer at USA 0x2ee4,False
USA,0x113c58,JP,0x11391c,5,octorock,Pointer at USA 0x2ee4,False
USA,0x113cd4,DEMO,0x113858,5,octorock,Pointer at USA 0x2ef4,False
USA,0x113cd4,JP,0x113998,5,octorock,Pointer at USA 0x2ef4,False
USA,0x113d1c,DEMO,0x1138a0,5,octorock,Pointer at USA 0x2f04,False
USA,0x113d1c,JP,0x1139e0,5,octorock,Pointer at USA 0x2f04,False
USA,0x113d60,DEMO,0x1138e4,5,octorock,Pointer at USA 0x2f14,False
USA,0x113d60,JP,0x113a24,5,octorock,Pointer at USA 0x2f14,False
USA,0x114098,DEMO,0x113c1c,5,octorock,Pointer at USA 0x2f24,False
USA,0x114098,JP,0x113d5c,5,octorock,Pointer at USA 0x2f24,False
USA,0x11033c,DEMO,0x10fec0,5,octorock,Pointer at USA 0x2f34,False
USA,0x11033c,JP,0x110000,5,octorock,Pointer at USA 0x2f34,False
USA,0x114580,DEMO,0x114104,5,octorock,Pointer at USA 0x2f44,False
USA,0x114580,JP,0x114244,5,octorock,Pointer at USA 0x2f44,False
USA,0x111a2c,DEMO,0x1115b0,5,octorock,Pointer at USA 0x2f54,False
USA,0x111a2c,JP,0x1116f0,5,octorock,Pointer at USA 0x2f54,False
USA,0x111c18,DEMO,0x11179c,5,octorock,Pointer at USA 0x2f64,False
USA,0x111c18,JP,0x1118dc,5,octorock,Pointer at USA 0x2f64,False
USA,0x111c18,DEMO,0x11179c,5,octorock,Pointer at USA 0x2f74,False
USA,0x111c18,JP,0x1118dc,5,octorock,Pointer at USA 0x2f74,False
USA,0x111b60,DEMO,0x1116e4,5,octorock,Pointer at USA 0x2f84,False
USA,0x111b60,JP,0x111824,5,octorock,Pointer at USA 0x2f84,False
USA,0x110eac,DEMO,0x110a30,5,octorock,Pointer at USA 0x2f94,False
USA,0x110eac,JP,0x110b70,5,octorock,Pointer at USA 0x2f94,False
USA,0x114228,DEMO,0x113dac,5,octorock,Pointer at USA 0x2fa4,False
USA,0x114228,JP,0x113eec,5,octorock,Pointer at USA 0x2fa4,False
USA,0x12311c,DEMO,0x123b28,5,octorock,Pointer at USA 0x2fb4,False
USA,0x12311c,JP,0x122de0,5,octorock,Pointer at USA 0x2fb4,False
USA,0xcb438,DEMO,0xcafbc,5,octorock,Pointer at USA 0x2fd4,False
USA,0xcb438,JP,0xcb1d8,5,octorock,Pointer at USA 0x2fd4,False
USA,0xcb4fc,DEMO,0xcb080,5,octorock,Pointer at USA 0x2fe4,False
USA,0xcb4fc,JP,0xcb29c,5,octorock,Pointer at USA 0x2fe4,False
USA,0xcc69c,DEMO,0xcc220,5,octorock,Pointer at USA 0x2ff4,False
USA,0xcc69c,JP,0xcc43c,5,octorock,Pointer at USA 0x2ff4,False
USA,0x11ee20,DEMO,0x11f82c,5,octorock,Pointer at USA 0x3004,True
USA,0x11ee20,JP,0x11eae4,5,octorock,Pointer at USA 0x3004,True
USA,0xcce64,DEMO,0xcc9e8,5,octorock,Pointer at USA 0x3014,False
USA,0xcce64,JP,0xccc04,5,octorock,Pointer at USA 0x3014,False
USA,0xcdd64,DEMO,0xcd8e8,5,octorock,Pointer at USA 0x3024,False
USA,0xcdd64,JP,0xcdb04,5,octorock,Pointer at USA 0x3024,False
USA,0xce944,DEMO,0xce4c8,5,octorock,Pointer at USA 0x3034,False
USA,0xce944,JP,0xce6e4,5,octorock,Pointer at USA 0x3034,False
USA,0xcf014,DEMO,0xceb98,5,octorock,Pointer at USA 0x3044,False
USA,0xcf014,JP,0xcedb4,5,octorock,Pointer at USA 0x3044,False
USA,0xcf724,DEMO,0xcf2a8,5,octorock,Pointer at USA 0x3054,False
USA,0xcf724,JP,0xcf4c4,5,octorock,Pointer at USA 0x3054,False
USA,0x129f34,DEMO,0x12a984,5,octorock,Pointer at USA 0x3064,True
USA,0x129f34,JP,0x129bf8,5,octorock,Pointer at USA 0x3064,True
USA,0xcfaf0,DEMO,0xcf674,5,octorock,Pointer at USA 0x3074,False
USA,0xcfaf0,JP,0xcf890,5,octorock,Pointer at USA 0x3074,False
USA,0xcf418,DEMO,0xcef9c,5,octorock,Pointer at USA 0x3084,False
USA,0xcf418,JP,0xcf1b8,5,octorock,Pointer at USA 0x3084,False
USA,0xd03b4,DEMO,0xcff38,5,octorock,Pointer at USA 0x3094,False
USA,0xd03b4,JP,0xd0154,5,octorock,Pointer at USA 0x3094,False
USA,0x129bc8,DEMO,0x12a618,5,octorock,Pointer at USA 0x30a4,True
USA,0x129bc8,JP,0x12988c,5,octorock,Pointer at USA 0x30a4,True
USA,0xd0558,DEMO,0xd00dc,5,octorock,Pointer at USA 0x30b4,False
USA,0xd0558,JP,0xd02f8,5,octorock,Pointer at USA 0x30b4,False
USA,0xd058c,DEMO,0xd0110,5,octorock,Pointer at USA 0x30c4,False
USA,0xd058c,JP,0xd032c,5,octorock,Pointer at USA 0x30c4,False
USA,0xd05e0,DEMO,0xd0164,5,octorock,Pointer at USA 0x30d4,False
USA,0xd05e0,JP,0xd0380,5,octorock,Pointer at USA 0x30d4,False
USA,0xd0634,DEMO,0xd01b8,5,octorock,Pointer at USA 0x30e4,False
USA,0xd0634,JP,0xd03d4,5,octorock,Pointer at USA 0x30e4,False
USA,0xd1694,DEMO,0xd1218,5,octorock,Pointer at USA 0x30f4,False
USA,0xd1694,JP,0xd1434,5,octorock,Pointer at USA 0x30f4,False
USA,0xd0bc4,DEMO,0xd0748,5,octorock,Pointer at USA 0x3104,False
USA,0xd0bc4,JP,0xd0964,5,octorock,Pointer at USA 0x3104,False
USA,0xd0c88,DEMO,0xd080c,5,octorock,Pointer at USA 0x3114,False
USA,0xd0c88,JP,0xd0a28,5,octorock,Pointer at USA 0x3114,False
USA,0xd0c0c,DEMO,0xd0790,5,octorock,Pointer at USA 0x3124,False
USA,0xd0c0c,JP,0xd09ac,5,octorock,Pointer at USA 0x3124,False
