rom_variant,address,points_to,certainty,author,note
USA,0x31c4,0x8122540,5,octorock,
DEMO,0x31c4,0x8122f4c,5,octorock,
JP,0x31c4,0x8122204,5,octorock,
USA,0x31d4,0x8122698,5,octorock,
DEMO,0x31d4,0x81230a4,5,octorock,
JP,0x31d4,0x812235c,5,octorock,
USA,0x31e4,0x8122834,5,octorock,
DEMO,0x31e4,0x8123240,5,octorock,
JP,0x31e4,0x81224f8,5,octorock,
USA,0x31f4,0x81236cc,5,octorock,
DEMO,0x31f4,0x81240d8,5,octorock,
JP,0x31f4,0x8123390,5,octorock,
USA,0x3204,0x8123d14,5,octorock,
DEMO,0x3204,0x8124720,5,octorock,
JP,0x3204,0x81239d8,5,octorock,
USA,0x2c78,0x8118d38,5,octorock,
DEMO,0x2c78,0x81188bc,5,octorock,
JP,0x2c78,0x81189fc,5,octorock,
USA,0x2c88,0x8118da4,5,octorock,
DEMO,0x2c88,0x8118928,5,octorock,
JP,0x2c88,0x8118a68,5,octorock,
USA,0x2c98,0x8118dd0,5,octorock,
DEMO,0x2c98,0x8118954,5,octorock,
JP,0x2c98,0x8118a94,5,octorock,
USA,0x2ca8,0x8118ddc,5,octorock,
DEMO,0x2ca8,0x8118960,5,octorock,
JP,0x2ca8,0x8118aa0,5,octorock,
USA,0x2cb8,0x8118e5c,5,octorock,
JP,0x2cb8,0x8118b20,5,octorock,
DEMO,0x2cb8,0x81189e0,5,octorock,
USA,0x2cc8,0x8118f04,5,octorock,
JP,0x2cc8,0x8118bc8,5,octorock,
DEMO,0x2cc8,0x8118a88,5,octorock,
USA,0x2cd8,0x8118f3c,5,octorock,
JP,0x2cd8,0x8118c00,5,octorock,
DEMO,0x2cd8,0x8118ac0,5,octorock,
USA,0x2ce8,0x8118f64,5,octorock,
JP,0x2ce8,0x8118c28,5,octorock,
DEMO,0x2ce8,0x8118ae8,5,octorock,
USA,0x2cf8,0x8118f98,5,octorock,
JP,0x2cf8,0x8118c5c,5,octorock,
DEMO,0x2cf8,0x8118b1c,5,octorock,
USA,0x2d08,0x81190a0,5,octorock,
JP,0x2d08,0x8118d64,5,octorock,
DEMO,0x2d08,0x8118c24,5,octorock,
USA,0x2d18,0x81190e4,5,octorock,
JP,0x2d18,0x8118da8,5,octorock,
DEMO,0x2d18,0x8118c68,5,octorock,
USA,0x2d28,0x811911c,5,octorock,
JP,0x2d28,0x8118de0,5,octorock,
DEMO,0x2d28,0x8118ca0,5,octorock,
USA,0x2d38,0x811912c,5,octorock,
JP,0x2d38,0x8118df0,5,octorock,
DEMO,0x2d38,0x8118cb0,5,octorock,
USA,0x2d48,0x8119188,5,octorock,
JP,0x2d48,0x8118e4c,5,octorock,
DEMO,0x2d48,0x8118d0c,5,octorock,
USA,0x2d58,0x81192a8,5,octorock,
JP,0x2d58,0x8118f6c,5,octorock,
DEMO,0x2d58,0x8118e2c,5,octorock,
USA,0x2d68,0x8119548,5,octorock,
JP,0x2d68,0x811920c,5,octorock,
DEMO,0x2d68,0x81190cc,5,octorock,
USA,0x2d78,0x81197c4,5,octorock,
JP,0x2d78,0x8119488,5,octorock,
DEMO,0x2d78,0x8119348,5,octorock,
USA,0x2d88,0x81197f4,5,octorock,
JP,0x2d88,0x81194b8,5,octorock,
DEMO,0x2d88,0x8119378,5,octorock,
USA,0x2d98,0x81198c4,5,octorock,
JP,0x2d98,0x8119588,5,octorock,
DEMO,0x2d98,0x8119448,5,octorock,
USA,0x2da8,0x81198ec,5,octorock,
JP,0x2da8,0x81195b0,5,octorock,
DEMO,0x2da8,0x8119470,5,octorock,
USA,0x2db8,0x81199a4,5,octorock,
JP,0x2db8,0x8119668,5,octorock,
DEMO,0x2db8,0x8119528,5,octorock,
USA,0x2dc8,0x81199f8,5,octorock,
JP,0x2dc8,0x81196bc,5,octorock,
DEMO,0x2dc8,0x811957c,5,octorock,
USA,0x2dd8,0x8119a74,5,octorock,
JP,0x2dd8,0x8119738,5,octorock,
DEMO,0x2dd8,0x81195f8,5,octorock,
USA,0x2de8,0x8119af0,5,octorock,
JP,0x2de8,0x81197b4,5,octorock,
